feature,weight
Countries_Austria,18.92011912247017
Countries_Belgium,18.084300280247135
Countries_Bulgaria,10.595404880612705
Countries_Croatia,13.106145090116343
Countries_Cyprus,12.085579634139322
Countries_Czechia,11.821522269368643
Countries_Denmark,19.09668696382323
Countries_Estonia,9.896205008305515
Countries_Finland,18.79099665365129
Countries_France,21.373716341694944
Countries_Germany,18.486918743914885
Countries_Greece,15.88332131185416
Countries_Hungary,10.54170311944631
Countries_Iceland,15.974052031861902
Countries_Ireland,8.274542200541418
Countries_Italy,18.481198646566554
Countries_Latvia,10.452822639350643
Countries_Lithuania,10.130407336136386
Countries_Luxembourg,13.262736874400161
Countries_Malta,9.350246260187305
Countries_Netherlands,17.773765839947373
Countries_Norway,15.940928400233133
Countries_Poland,12.927422329589035
Countries_Portugal,15.360690680639891
Countries_Romania,9.568766225974514
Countries_Serbia,11.506846355357993
Countries_Slovakia,11.018450929434493
Countries_Slovenia,14.607607076324712
Countries_Spain,15.666838939466743
Countries_Sweden,17.262159878963303
Countries_Switzerland,17.413258392369926
lag_1,0.3475768263434702
lag_2,-0.06569495551499926
lag_3,-0.031429626045564873
lag_4,0.551405709147275
lag_5,-0.43550790486894186
COVID,1.497123642878023
